"Informazioni cronologiche","Trial Zero","Trial 1","Trial 2","Trial 3","Trial 4","Trial 5","Trial 6","Trial 7","Trial 8","Trial 9","Trial 10","Trial 11","Trial 12","Trial 13","Trial 14","Trial 15","Trial 16","Trial 17","Trial 18","Trial 19","Trial 20","Trial 21","Trial 22","Trial 23","Trial 24","Trial 25","Trial 26","Trial 27","Trial 28","Trial 29","Trial 30","Trial 31","Trial 32"
"2018/11/13 12:37:09 PM CET","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)"
"2018/11/13 12:37:10 PM CET","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)"
"2018/11/13 12:37:10 PM CET","/ (CW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)"
"2018/11/13 12:37:11 PM CET","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)"
"2018/11/13 12:37:12 PM CET","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)"
"2018/11/13 12:37:12 PM CET","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)"
"2018/11/13 12:37:12 PM CET","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)"
"2018/11/13 12:37:12 PM CET","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)"
"2018/11/13 12:37:13 PM CET","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)"
"2018/11/13 12:37:45 PM CET","\ (CCW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)"
"2018/11/13 12:37:48 PM CET","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)","\ (CCW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","\ (CCW)","/ (CW)","/ (CW)"