SoA,color_swap,colors,orientations,position,position_x,position_y,shapes,target_ori,trial_id,trial_nr
0.1,0,1,-45,0,0.0,0.6,0,45,12,1
0.1,0,0,-45,1,0.424264068712,0.424264068712,0,45,12,1
0.1,0,0,45,2,0.6,3.67394039744e-17,0,45,12,1
0.1,0,0,45,3,0.424264068712,-0.424264068712,0,45,12,1
0.1,0,0,45,4,7.34788079488e-17,-0.6,0,45,12,1
0.1,0,0,45,5,-0.424264068712,-0.424264068712,1,45,12,1
0.1,0,0,-45,6,-0.6,-1.10218211923e-16,0,45,12,1
0.1,0,0,-45,7,-0.424264068712,0.424264068712,0,45,12,1
0.1,0,1,-45,0,0.0,0.6,0,-45,9,2
0.1,0,0,-45,1,0.424264068712,0.424264068712,0,-45,9,2
0.1,0,0,45,2,0.6,3.67394039744e-17,0,-45,9,2
0.1,0,0,45,3,0.424264068712,-0.424264068712,0,-45,9,2
0.1,0,0,-45,4,7.34788079488e-17,-0.6,0,-45,9,2
0.1,0,0,-45,5,-0.424264068712,-0.424264068712,0,-45,9,2
0.1,0,0,45,6,-0.6,-1.10218211923e-16,0,-45,9,2
0.1,0,0,-45,7,-0.424264068712,0.424264068712,1,-45,9,2
0.4,1,0,-45,0,0.0,0.6,0,-45,30,3
0.4,1,0,-45,1,0.424264068712,0.424264068712,0,-45,30,3
0.4,1,0,-45,2,0.6,3.67394039744e-17,0,-45,30,3
0.4,1,0,45,3,0.424264068712,-0.424264068712,0,-45,30,3
0.4,1,0,-45,4,7.34788079488e-17,-0.6,0,-45,30,3
0.4,1,1,45,5,-0.424264068712,-0.424264068712,0,-45,30,3
0.4,1,0,-45,6,-0.6,-1.10218211923e-16,1,-45,30,3
0.4,1,0,45,7,-0.424264068712,0.424264068712,0,-45,30,3
0.1,1,0,45,0,0.0,0.6,1,45,15,4
0.1,1,0,-45,1,0.424264068712,0.424264068712,0,45,15,4
0.1,1,0,45,2,0.6,3.67394039744e-17,0,45,15,4
0.1,1,1,-45,3,0.424264068712,-0.424264068712,0,45,15,4
0.1,1,0,-45,4,7.34788079488e-17,-0.6,0,45,15,4
0.1,1,0,45,5,-0.424264068712,-0.424264068712,0,45,15,4
0.1,1,0,-45,6,-0.6,-1.10218211923e-16,0,45,15,4
0.1,1,0,-45,7,-0.424264068712,0.424264068712,0,45,15,4
0.05,0,0,-45,0,0.0,0.6,0,-45,1,5
0.05,0,0,-45,1,0.424264068712,0.424264068712,0,-45,1,5
0.05,0,0,-45,2,0.6,3.67394039744e-17,0,-45,1,5
0.05,0,0,45,3,0.424264068712,-0.424264068712,0,-45,1,5
0.05,0,0,45,4,7.34788079488e-17,-0.6,0,-45,1,5
0.05,0,0,-45,5,-0.424264068712,-0.424264068712,1,-45,1,5
0.05,0,1,-45,6,-0.6,-1.10218211923e-16,0,-45,1,5
0.05,0,0,45,7,-0.424264068712,0.424264068712,0,-45,1,5
0.2,0,0,-45,0,0.0,0.6,0,45,20,6
0.2,0,0,45,1,0.424264068712,0.424264068712,0,45,20,6
0.2,0,0,45,2,0.6,3.67394039744e-17,0,45,20,6
0.2,0,1,-45,3,0.424264068712,-0.424264068712,0,45,20,6
0.2,0,0,-45,4,7.34788079488e-17,-0.6,0,45,20,6
0.2,0,0,-45,5,-0.424264068712,-0.424264068712,0,45,20,6
0.2,0,0,45,6,-0.6,-1.10218211923e-16,1,45,20,6
0.2,0,0,-45,7,-0.424264068712,0.424264068712,0,45,20,6
0.05,1,0,-45,0,0.0,0.6,0,45,8,7
0.05,1,0,45,1,0.424264068712,0.424264068712,1,45,8,7
0.05,1,1,45,2,0.6,3.67394039744e-17,0,45,8,7
0.05,1,0,-45,3,0.424264068712,-0.424264068712,0,45,8,7
0.05,1,0,-45,4,7.34788079488e-17,-0.6,0,45,8,7
0.05,1,0,45,5,-0.424264068712,-0.424264068712,0,45,8,7
0.05,1,0,45,6,-0.6,-1.10218211923e-16,0,45,8,7
0.05,1,0,-45,7,-0.424264068712,0.424264068712,0,45,8,7
0.1,0,0,45,0,0.0,0.6,1,45,11,8
0.1,0,0,-45,1,0.424264068712,0.424264068712,0,45,11,8
0.1,0,0,-45,2,0.6,3.67394039744e-17,0,45,11,8
0.1,0,1,-45,3,0.424264068712,-0.424264068712,0,45,11,8
0.1,0,0,-45,4,7.34788079488e-17,-0.6,0,45,11,8
0.1,0,0,45,5,-0.424264068712,-0.424264068712,0,45,11,8
0.1,0,0,-45,6,-0.6,-1.10218211923e-16,0,45,11,8
0.1,0,0,45,7,-0.424264068712,0.424264068712,0,45,11,8
0.2,0,0,-45,0,0.0,0.6,1,-45,18,9
0.2,0,0,-45,1,0.424264068712,0.424264068712,0,-45,18,9
0.2,0,0,-45,2,0.6,3.67394039744e-17,0,-45,18,9
0.2,0,0,45,3,0.424264068712,-0.424264068712,0,-45,18,9
0.2,0,0,-45,4,7.34788079488e-17,-0.6,0,-45,18,9
0.2,0,0,45,5,-0.424264068712,-0.424264068712,0,-45,18,9
0.2,0,1,-45,6,-0.6,-1.10218211923e-16,0,-45,18,9
0.2,0,0,-45,7,-0.424264068712,0.424264068712,0,-45,18,9
0.05,0,0,-45,0,0.0,0.6,0,45,4,10
0.05,0,0,45,1,0.424264068712,0.424264068712,0,45,4,10
0.05,0,0,45,2,0.6,3.67394039744e-17,1,45,4,10
0.05,0,0,-45,3,0.424264068712,-0.424264068712,0,45,4,10
0.05,0,1,45,4,7.34788079488e-17,-0.6,0,45,4,10
0.05,0,0,-45,5,-0.424264068712,-0.424264068712,0,45,4,10
0.05,0,0,45,6,-0.6,-1.10218211923e-16,0,45,4,10
0.05,0,0,45,7,-0.424264068712,0.424264068712,0,45,4,10
0.2,1,0,45,0,0.0,0.6,0,-45,22,11
0.2,1,0,-45,1,0.424264068712,0.424264068712,1,-45,22,11
0.2,1,0,-45,2,0.6,3.67394039744e-17,0,-45,22,11
0.2,1,1,45,3,0.424264068712,-0.424264068712,0,-45,22,11
0.2,1,0,45,4,7.34788079488e-17,-0.6,0,-45,22,11
0.2,1,0,-45,5,-0.424264068712,-0.424264068712,0,-45,22,11
0.2,1,0,-45,6,-0.6,-1.10218211923e-16,0,-45,22,11
0.2,1,0,-45,7,-0.424264068712,0.424264068712,0,-45,22,11
0.1,0,0,45,0,0.0,0.6,0,-45,10,12
0.1,0,0,45,1,0.424264068712,0.424264068712,0,-45,10,12
0.1,0,0,-45,2,0.6,3.67394039744e-17,0,-45,10,12
0.1,0,1,-45,3,0.424264068712,-0.424264068712,0,-45,10,12
0.1,0,0,45,4,7.34788079488e-17,-0.6,0,-45,10,12
0.1,0,0,-45,5,-0.424264068712,-0.424264068712,0,-45,10,12
0.1,0,0,-45,6,-0.6,-1.10218211923e-16,0,-45,10,12
0.1,0,0,-45,7,-0.424264068712,0.424264068712,1,-45,10,12
0.4,0,0,-45,0,0.0,0.6,0,-45,26,13
0.4,0,0,45,1,0.424264068712,0.424264068712,0,-45,26,13
0.4,0,1,-45,2,0.6,3.67394039744e-17,0,-45,26,13
0.4,0,0,-45,3,0.424264068712,-0.424264068712,0,-45,26,13
0.4,0,0,45,4,7.34788079488e-17,-0.6,0,-45,26,13
0.4,0,0,45,5,-0.424264068712,-0.424264068712,0,-45,26,13
0.4,0,0,-45,6,-0.6,-1.10218211923e-16,0,-45,26,13
0.4,0,0,-45,7,-0.424264068712,0.424264068712,1,-45,26,13
0.2,1,0,-45,0,0.0,0.6,0,45,24,14
0.2,1,0,45,1,0.424264068712,0.424264068712,0,45,24,14
0.2,1,0,45,2,0.6,3.67394039744e-17,0,45,24,14
0.2,1,1,-45,3,0.424264068712,-0.424264068712,0,45,24,14
0.2,1,0,-45,4,7.34788079488e-17,-0.6,0,45,24,14
0.2,1,0,45,5,-0.424264068712,-0.424264068712,1,45,24,14
0.2,1,0,-45,6,-0.6,-1.10218211923e-16,0,45,24,14
0.2,1,0,45,7,-0.424264068712,0.424264068712,0,45,24,14
0.2,1,0,45,0,0.0,0.6,1,45,23,15
0.2,1,0,-45,1,0.424264068712,0.424264068712,0,45,23,15
0.2,1,0,-45,2,0.6,3.67394039744e-17,0,45,23,15
0.2,1,0,-45,3,0.424264068712,-0.424264068712,0,45,23,15
0.2,1,0,-45,4,7.34788079488e-17,-0.6,0,45,23,15
0.2,1,0,45,5,-0.424264068712,-0.424264068712,0,45,23,15
0.2,1,0,45,6,-0.6,-1.10218211923e-16,0,45,23,15
0.2,1,1,-45,7,-0.424264068712,0.424264068712,0,45,23,15
0.1,1,0,45,0,0.0,0.6,1,45,16,16
0.1,1,1,-45,1,0.424264068712,0.424264068712,0,45,16,16
0.1,1,0,-45,2,0.6,3.67394039744e-17,0,45,16,16
0.1,1,0,45,3,0.424264068712,-0.424264068712,0,45,16,16
0.1,1,0,45,4,7.34788079488e-17,-0.6,0,45,16,16
0.1,1,0,-45,5,-0.424264068712,-0.424264068712,0,45,16,16
0.1,1,0,-45,6,-0.6,-1.10218211923e-16,0,45,16,16
0.1,1,0,-45,7,-0.424264068712,0.424264068712,0,45,16,16
0.4,1,0,-45,0,0.0,0.6,0,45,31,17
0.4,1,0,45,1,0.424264068712,0.424264068712,0,45,31,17
0.4,1,1,-45,2,0.6,3.67394039744e-17,0,45,31,17
0.4,1,0,45,3,0.424264068712,-0.424264068712,0,45,31,17
0.4,1,0,-45,4,7.34788079488e-17,-0.6,0,45,31,17
0.4,1,0,-45,5,-0.424264068712,-0.424264068712,0,45,31,17
0.4,1,0,45,6,-0.6,-1.10218211923e-16,1,45,31,17
0.4,1,0,-45,7,-0.424264068712,0.424264068712,0,45,31,17
0.05,1,0,-45,0,0.0,0.6,0,45,7,18
0.05,1,0,-45,1,0.424264068712,0.424264068712,0,45,7,18
0.05,1,0,-45,2,0.6,3.67394039744e-17,0,45,7,18
0.05,1,0,45,3,0.424264068712,-0.424264068712,0,45,7,18
0.05,1,0,45,4,7.34788079488e-17,-0.6,1,45,7,18
0.05,1,1,-45,5,-0.424264068712,-0.424264068712,0,45,7,18
0.05,1,0,45,6,-0.6,-1.10218211923e-16,0,45,7,18
0.05,1,0,-45,7,-0.424264068712,0.424264068712,0,45,7,18
0.05,0,1,-45,0,0.0,0.6,0,-45,2,19
0.05,0,0,45,1,0.424264068712,0.424264068712,0,-45,2,19
0.05,0,0,-45,2,0.6,3.67394039744e-17,0,-45,2,19
0.05,0,0,-45,3,0.424264068712,-0.424264068712,1,-45,2,19
0.05,0,0,-45,4,7.34788079488e-17,-0.6,0,-45,2,19
0.05,0,0,45,5,-0.424264068712,-0.424264068712,0,-45,2,19
0.05,0,0,-45,6,-0.6,-1.10218211923e-16,0,-45,2,19
0.05,0,0,45,7,-0.424264068712,0.424264068712,0,-45,2,19
0.05,1,0,-45,0,0.0,0.6,0,-45,6,20
0.05,1,0,-45,1,0.424264068712,0.424264068712,0,-45,6,20
0.05,1,0,45,2,0.6,3.67394039744e-17,0,-45,6,20
0.05,1,0,45,3,0.424264068712,-0.424264068712,0,-45,6,20
0.05,1,0,-45,4,7.34788079488e-17,-0.6,1,-45,6,20
0.05,1,0,45,5,-0.424264068712,-0.424264068712,0,-45,6,20
0.05,1,1,-45,6,-0.6,-1.10218211923e-16,0,-45,6,20
0.05,1,0,-45,7,-0.424264068712,0.424264068712,0,-45,6,20
0.1,1,0,-45,0,0.0,0.6,0,-45,14,21
0.1,1,0,-45,1,0.424264068712,0.424264068712,1,-45,14,21
0.1,1,0,-45,2,0.6,3.67394039744e-17,0,-45,14,21
0.1,1,0,-45,3,0.424264068712,-0.424264068712,0,-45,14,21
0.1,1,0,-45,4,7.34788079488e-17,-0.6,0,-45,14,21
0.1,1,0,45,5,-0.424264068712,-0.424264068712,0,-45,14,21
0.1,1,1,-45,6,-0.6,-1.10218211923e-16,0,-45,14,21
0.1,1,0,45,7,-0.424264068712,0.424264068712,0,-45,14,21
0.05,0,0,-45,0,0.0,0.6,0,45,3,22
0.05,0,0,45,1,0.424264068712,0.424264068712,0,45,3,22
0.05,0,0,45,2,0.6,3.67394039744e-17,0,45,3,22
0.05,0,0,45,3,0.424264068712,-0.424264068712,1,45,3,22
0.05,0,1,-45,4,7.34788079488e-17,-0.6,0,45,3,22
0.05,0,0,45,5,-0.424264068712,-0.424264068712,0,45,3,22
0.05,0,0,-45,6,-0.6,-1.10218211923e-16,0,45,3,22
0.05,0,0,-45,7,-0.424264068712,0.424264068712,0,45,3,22
0.2,0,0,45,0,0.0,0.6,0,-45,17,23
0.2,0,0,-45,1,0.424264068712,0.424264068712,0,-45,17,23
0.2,0,0,-45,2,0.6,3.67394039744e-17,0,-45,17,23
0.2,0,0,-45,3,0.424264068712,-0.424264068712,0,-45,17,23
0.2,0,0,-45,4,7.34788079488e-17,-0.6,0,-45,17,23
0.2,0,1,45,5,-0.424264068712,-0.424264068712,0,-45,17,23
0.2,0,0,-45,6,-0.6,-1.10218211923e-16,0,-45,17,23
0.2,0,0,-45,7,-0.424264068712,0.424264068712,1,-45,17,23
0.4,1,0,-45,0,0.0,0.6,0,45,32,24
0.4,1,1,45,1,0.424264068712,0.424264068712,0,45,32,24
0.4,1,0,45,2,0.6,3.67394039744e-17,0,45,32,24
0.4,1,0,-45,3,0.424264068712,-0.424264068712,0,45,32,24
0.4,1,0,45,4,7.34788079488e-17,-0.6,1,45,32,24
0.4,1,0,-45,5,-0.424264068712,-0.424264068712,0,45,32,24
0.4,1,0,45,6,-0.6,-1.10218211923e-16,0,45,32,24
0.4,1,0,-45,7,-0.424264068712,0.424264068712,0,45,32,24
0.4,0,0,45,0,0.0,0.6,0,45,27,25
0.4,0,0,45,1,0.424264068712,0.424264068712,1,45,27,25
0.4,0,0,45,2,0.6,3.67394039744e-17,0,45,27,25
0.4,0,0,-45,3,0.424264068712,-0.424264068712,0,45,27,25
0.4,0,0,-45,4,7.34788079488e-17,-0.6,0,45,27,25
0.4,0,0,-45,5,-0.424264068712,-0.424264068712,0,45,27,25
0.4,0,1,45,6,-0.6,-1.10218211923e-16,0,45,27,25
0.4,0,0,-45,7,-0.424264068712,0.424264068712,0,45,27,25
0.4,1,0,-45,0,0.0,0.6,0,-45,29,26
0.4,1,0,45,1,0.424264068712,0.424264068712,0,-45,29,26
0.4,1,0,-45,2,0.6,3.67394039744e-17,0,-45,29,26
0.4,1,0,45,3,0.424264068712,-0.424264068712,0,-45,29,26
0.4,1,0,-45,4,7.34788079488e-17,-0.6,1,-45,29,26
0.4,1,1,-45,5,-0.424264068712,-0.424264068712,0,-45,29,26
0.4,1,0,45,6,-0.6,-1.10218211923e-16,0,-45,29,26
0.4,1,0,45,7,-0.424264068712,0.424264068712,0,-45,29,26
0.1,1,0,45,0,0.0,0.6,0,-45,13,27
0.1,1,0,-45,1,0.424264068712,0.424264068712,0,-45,13,27
0.1,1,0,45,2,0.6,3.67394039744e-17,0,-45,13,27
0.1,1,0,-45,3,0.424264068712,-0.424264068712,0,-45,13,27
0.1,1,0,-45,4,7.34788079488e-17,-0.6,0,-45,13,27
0.1,1,0,-45,5,-0.424264068712,-0.424264068712,0,-45,13,27
0.1,1,0,-45,6,-0.6,-1.10218211923e-16,1,-45,13,27
0.1,1,1,45,7,-0.424264068712,0.424264068712,0,-45,13,27
0.4,0,0,45,0,0.0,0.6,0,-45,25,28
0.4,0,0,-45,1,0.424264068712,0.424264068712,0,-45,25,28
0.4,0,1,45,2,0.6,3.67394039744e-17,0,-45,25,28
0.4,0,0,-45,3,0.424264068712,-0.424264068712,0,-45,25,28
0.4,0,0,-45,4,7.34788079488e-17,-0.6,1,-45,25,28
0.4,0,0,-45,5,-0.424264068712,-0.424264068712,0,-45,25,28
0.4,0,0,45,6,-0.6,-1.10218211923e-16,0,-45,25,28
0.4,0,0,-45,7,-0.424264068712,0.424264068712,0,-45,25,28
0.05,1,0,45,0,0.0,0.6,0,-45,5,29
0.05,1,0,-45,1,0.424264068712,0.424264068712,0,-45,5,29
0.05,1,0,-45,2,0.6,3.67394039744e-17,1,-45,5,29
0.05,1,0,-45,3,0.424264068712,-0.424264068712,0,-45,5,29
0.05,1,0,45,4,7.34788079488e-17,-0.6,0,-45,5,29
0.05,1,0,45,5,-0.424264068712,-0.424264068712,0,-45,5,29
0.05,1,0,45,6,-0.6,-1.10218211923e-16,0,-45,5,29
0.05,1,1,-45,7,-0.424264068712,0.424264068712,0,-45,5,29
0.2,1,0,-45,0,0.0,0.6,0,-45,21,30
0.2,1,0,-45,1,0.424264068712,0.424264068712,0,-45,21,30
0.2,1,0,45,2,0.6,3.67394039744e-17,0,-45,21,30
0.2,1,0,-45,3,0.424264068712,-0.424264068712,0,-45,21,30
0.2,1,0,45,4,7.34788079488e-17,-0.6,0,-45,21,30
0.2,1,0,-45,5,-0.424264068712,-0.424264068712,0,-45,21,30
0.2,1,0,-45,6,-0.6,-1.10218211923e-16,1,-45,21,30
0.2,1,1,45,7,-0.424264068712,0.424264068712,0,-45,21,30
0.2,0,0,-45,0,0.0,0.6,0,45,19,31
0.2,0,0,-45,1,0.424264068712,0.424264068712,0,45,19,31
0.2,0,0,-45,2,0.6,3.67394039744e-17,0,45,19,31
0.2,0,1,45,3,0.424264068712,-0.424264068712,0,45,19,31
0.2,0,0,-45,4,7.34788079488e-17,-0.6,0,45,19,31
0.2,0,0,45,5,-0.424264068712,-0.424264068712,1,45,19,31
0.2,0,0,-45,6,-0.6,-1.10218211923e-16,0,45,19,31
0.2,0,0,-45,7,-0.424264068712,0.424264068712,0,45,19,31
0.4,0,0,45,0,0.0,0.6,0,45,28,32
0.4,0,0,45,1,0.424264068712,0.424264068712,0,45,28,32
0.4,0,0,-45,2,0.6,3.67394039744e-17,0,45,28,32
0.4,0,0,45,3,0.424264068712,-0.424264068712,1,45,28,32
0.4,0,0,45,4,7.34788079488e-17,-0.6,0,45,28,32
0.4,0,0,45,5,-0.424264068712,-0.424264068712,0,45,28,32
0.4,0,0,-45,6,-0.6,-1.10218211923e-16,0,45,28,32
0.4,0,1,-45,7,-0.424264068712,0.424264068712,0,45,28,32
