"Informazioni cronologiche","Trial 1","Trial 2","Trial 3","Trial 4","Trial 5","Trial 6","Trial 7","Trial 8","Trial 9"
"2018/06/26 10:37:21 AM EET","longer","shorter","shorter","longer","shorter","longer","longer","","longer"
"2018/06/26 10:37:30 AM EET","longer","shorter","longer","shorter","shorter","longer","longer","shorter","longer"
"2018/06/26 10:37:31 AM EET","longer","shorter","longer","shorter","shorter","longer","longer","shorter","longer"
"2018/06/26 10:37:31 AM EET","longer","shorter","shorter","longer","","longer","longer","shorter","longer"
"2018/06/26 10:37:31 AM EET","longer","shorter","longer","longer","","longer","longer","","longer"
"2018/06/26 10:37:31 AM EET","longer","shorter","longer","longer","shorter","longer","longer","shorter","longer"
"2018/06/26 10:37:31 AM EET","longer","shorter","longer","shorter","","longer","longer","shorter","longer"
"2018/06/26 10:37:31 AM EET","longer","shorter","shorter","shorter","longer","longer","shorter","shorter","longer"
"2018/06/26 10:37:32 AM EET","longer","shorter","longer","shorter","shorter","longer","longer","shorter","longer"
"2018/06/26 10:37:33 AM EET","longer","shorter","longer","longer","longer","longer","longer","shorter","longer"
"2018/06/26 10:37:33 AM EET","longer","shorter","shorter","shorter","shorter","longer","shorter","shorter","longer"
"2018/06/26 10:37:33 AM EET","longer","shorter","longer","shorter","longer","longer","longer","shorter","longer"
"2018/06/26 10:37:33 AM EET","longer","shorter","shorter","longer","longer","longer","longer","shorter","longer"
"2018/06/26 10:37:33 AM EET","longer","shorter","longer","shorter","longer","longer","longer","shorter","longer"
"2018/06/26 10:37:34 AM EET","longer","shorter","shorter","shorter","shorter","longer","longer","shorter","longer"
"2018/06/26 10:37:34 AM EET","longer","shorter","longer","shorter","longer","longer","longer","shorter","longer"
"2018/06/26 10:37:36 AM EET","longer","shorter","shorter","shorter","shorter","longer","longer","shorter","longer"
"2018/06/26 10:37:37 AM EET","longer","shorter","longer","shorter","","longer","longer","shorter","longer"
"2018/06/26 10:37:38 AM EET","longer","longer","longer","longer","longer","shorter","shorter","shorter","shorter"
"2018/06/26 10:37:39 AM EET","longer","shorter","shorter","shorter","","longer","","shorter","longer"